item-title,r-itemid,pickup,quality,textbox
Diplopia,ItemID: 347,"""Double item vision""",Quality: 3,"A one-time use item which when used, will duplicate any pedestal items or consumables in the current room"
Placebo,ItemID: 348,"""Pill mimic""",Quality: 2,"When used, copies the effect of the pill you are currently holding without consuming it"
Wooden Nickel,ItemID: 349,"""Flip a coin""",Quality: 1,"When used, has a 50% chance to drop one random type of coin (penny, nickel or dime)"
Toxic Shock,ItemID: 350,"""Mass poison""",Quality: 3,"With this item, at the start of every room you will deal double your tear damage to the entire room in a poison effect"
Mega Bean,ItemID: 351,"""Giga fart!""",Quality: 1,"When used, the Mega Bean will freeze all enemies in the current room for a couple of seconds, deal 5 damage and poison any enemies in close proximity and send a wave of spikes across the room in the direction you are facing"
Glass Cannon,ItemID: 352,"""Be gentle...""",Quality: 1,Glass Cannon allows you to fire one huge spectral tear that deals a lot of damage.
Bomber Boy,ItemID: 353,"""Explosive blast!""",Quality: 2,+5 bombs
Crack Jacks,ItemID: 354,"""Don't swallow the prize!""",Quality: 2,+1 HP Up
Mom's Pearls,ItemID: 355,"""Range + luck up""",Quality: 2,+0.38 Range Up
Car Battery,ItemID: 356,"""Double charge!""",Quality: 3,The Car Battery causes your spacebar item to activate twice on each use
Box of Friends,ItemID: 357,"""Double your friends""",Quality: 1,"Upon use, gives you a duplicate of each familiar you have for the current room"
The Wiz,ItemID: 358,"""Double wiz shot!""",Quality: 0,"Isaac wears a dunce hat and fires 2 tears at once diagonally, similar to the R U A WIZARD pill tear pattern"
8 Inch Nails,ItemID: 359,"""Stick it to 'em!""",Quality: 3,+1.5 Damage Up
Incubus,ItemID: 360,"""Dark friend""",Quality: 4,"Gives you a familiar demon incubus that follows you and shoots tears that scale with your own tears in terms of damage, stats and also effects"
Fate's Reward,ItemID: 361,"""Your fate beside you""",Quality: 2,A familiar blue head that will follow Isaac and fire tears copying his tear damage and effects
Lil Chest,ItemID: 362,"""What's in the box?""",Quality: 2,A familiar chest that follows Isaac and has a 25% chance to drop a pickup after clearing a room
Sworn Protector,ItemID: 363,"""Protective friend""",Quality: 3,An orbital angel which does 7 contact damage per tick and blocks shots
Friend Zone,ItemID: 364,"""Friendly fly""",Quality: 1,A white orbiting fly which deals 3 contact damage per tick to enemies
Lost Fly,ItemID: 365,"""Lost protector""",Quality: 2,A familiar fly that moves in a straight line and attaches itself to the first obstacle or wall it comes into contact with in each room.
Scatter Bombs,ItemID: 366,"""We put bombs in your bombs!""",Quality: 1,+5 bombs
Sticky Bombs,ItemID: 367,"""Egg sack bombs!""",Quality: 2,This item causes your bombs to stick to enemies and when exploding will leave white creep on the ground which slows enemies
Epiphora,ItemID: 368,"""Intensifying tears""",Quality: 2,Shooting in one direction increases your fire rate until a cap is reached
Continuum,ItemID: 369,"""Transcendent tears""",Quality: 2,+3 Range Up
Mr. Dolly,ItemID: 370,"""Range + tears up""",Quality: 3,+0.7 Tears Up
Curse of The Tower,ItemID: 371,"""You feel cursed...""",Quality: 0,"Causes Isaac to spawn 6 troll bombs on the floor every time he gets hit, similar to the Anarchist Cookbook mechanic"
Charged Baby,ItemID: 372,"""Bbbzzzzzt!""",Quality: 3,A familiar baby that has a random chance to drop a battery pickup or freeze all enemies in the room for a short while
Dead Eye,ItemID: 373,"""Accuracy brings power!""",Quality: 3,Gives Isaac a +25% damage up for every tear that successfully hits an enemy
Holy Light!,ItemID: 374,"""Holy shot!""",Quality: 3,"Isaac has a random chance to fire a Holy tear, which when it hits an enemy, will spawn a light beam on the same enemy, dealing damage"
Host Hat,ItemID: 375,"""Nice hat!""",Quality: 3,A familiar host that sits on Isaac's head and has a 20% chance to block enemy shots
Restock,ItemID: 376,"""Never ending stores!""",Quality: 2,Causes your shops to instantly restock their items when you buy them
Bursting Sack,ItemID: 377,"""Spider love""",Quality: 1,Most spider enemies no longer target or deal contact damage to Isaac
No. 2,ItemID: 378,"""Uh oh...""",Quality: 2,Continuously firing or charging tears for 3 seconds causes Isaac to fart and drop a Butt Bomb
Pupula Duplex,ItemID: 379,"""Wide shot""",Quality: 2,Transforms Isaac's tears into a wide arc shape which doubles their size and hitbox
Pay To Play,ItemID: 380,"""Money talks""",Quality: 2,+5 coins
Eden's Blessing,ItemID: 381,"""Your future shines brighter""",Quality: 3,+0.7 Tears Up
Friendly Ball,ItemID: 382,"""Gotta fetch 'em all!""",Quality: 1,"When used, can be thrown at enemies to capture them (similar to a Poké Ball)"
Tear Detonator,ItemID: 383,"""Remote tear detonation""",Quality: 1,"When used, will detonate any tears currently on the screen and cause each one to split into 6 more tears which will fire in a circle, similar to Tammy's Head"
Lil Gurdy,ItemID: 384,"""A gurd of your own!""",Quality: 2,Gives Isaac a familiar Gurdy that will charge around the room dealing contact damage to enemies
Bumbo,ItemID: 385,"""Bumbo want coin!""",Quality: 1,A beggar head which floats around the room and picks up any nearby coins. Every 6 coins Bumbo will evolve to a new form except for level 4 which takes 12 coins
D12,ItemID: 386,"""Rerolls rocks""",Quality: 1,"When used, the D12 re-rolls any rocks into another random type of object (e.g. poop, pots, TNT, red poop, stone blocks, spikes, fireplaces etc.)"
Censer,ItemID: 387,"""Peace be with you""",Quality: 3,Gives Isaac a familiar golden Censer which creates a huge aura of light that slows down any enemies inside it
Key Bum,ItemID: 388,"""He wants your keys!""",Quality: 0,"A familiar beggar similar to Bum Friend that follows Isaac and collects keys, giving random chests in return"
Rune Bag,ItemID: 389,"""Rune generator""",Quality: 3,A bag that follows Isaac and drops a random Rune or Soul Stone every 7 or 8 rooms
Seraphim,ItemID: 390,"""Sworn friend""",Quality: 3,A familiar angel which follows Isaac and fires Sacred Heart tears which deal 10 damage at -25% shot speed and a reduced fire rate
Betrayal,ItemID: 391,"""Turn your enemy""",Quality: 1,"This item causes enemy projectiles to be able to hit other enemies. When an enemy takes damage from an enemy projectile, it will attempt to target the enemy that fired it"
Zodiac,ItemID: 392,"""The heavens will change you""",Quality: 1,Zodiac will give you a random zodiac item effect that changes after every floor
Serpent's Kiss,ItemID: 393,"""The kiss of death""",Quality: 2,"Tears now have a random chance to apply a poison effect, dealing damage equal to your tears each tick, for 2 ticks"
Marked,ItemID: 394,"""Directed tears""",Quality: 1,Isaac will now fire tears automatically directed at a red target on the ground which is controlled by the player
Tech X,ItemID: 395,"""Laser ring tears""",Quality: 4,Tears are replaced with the ability to charge and fire a laser ring that travels across the room
Ventricle Razor,ItemID: 396,"""Short cutter""",Quality: 1,"Allows you to create one brown tunnel and one blue tunnel in the floor, that can be used to teleport between wherever you placed each one"
Tractor Beam,ItemID: 397,"""Controlled tears""",Quality: 3,"Isaac's tears now travel directly forwards following a beam of light, but will also move sideways based on your player movement"
God's Flesh,ItemID: 398,"""Shrink shot!""",Quality: 1,"Tears now have a random chance to apply a shrinking effect, causing enemies to shrink in size for 5 seconds and also run away from Isaac"
Maw of The Void,ItemID: 399,"""Consume thy enemy!""",Quality: 3,"After firing tears for 3 seconds, a red cross appears on Isaac's head that, upon releasing the fire button, creates a black ring which deals a lot of damage to any enemies inside it"
Spear of Destiny,ItemID: 400,"""Your destiny""",Quality: 2,"In addition to tears, Isaac now holds a spear infront of him which deals damage equal to 2 times your tear damage"
Explosivo,ItemID: 401,"""Sticky bomb shot!""",Quality: 3,"Tears now have a random chance to become sticky bombs, which will attach to enemies and explode after a few seconds"
Chaos,ItemID: 402,"""!!!""",Quality: 3,Causes all item pedestals to be chosen from a random item pool instead of the pre-defined ones which normally exist
Spider Mod,ItemID: 403,"""Mod buddy!""",Quality: 1,A familiar grey spider that wanders around and allows you to see your tear damage and the health bars of all enemies
Farting Baby,ItemID: 404,"""He farts!""",Quality: 1,A familiar that follows Isaac and blocks tears
GB Bug,ItemID: 405,"""Game breaking bug, right away!""",Quality: 1,Spawns a familiar that follows Isaac.
D8,ItemID: 406,"""Reroll stats""",Quality: 2,"When used, the D8 rerolls all of your stats"
Purity,ItemID: 407,"""Aura stat boost""",Quality: 3,Purity will boost one of Isaac's stats depending on the colour of the aura around him
Athame,ItemID: 408,"""Call to the void""",Quality: 3,"Adds a chance for a black ring to spawn around killed enemies, dealing damage to others that touch it"
Empty Vessel,ItemID: 409,"""I reward an empty vessel""",Quality: 2,+2 Black Hearts
Evil Eye,ItemID: 410,"""Eye shot!""",Quality: 2,"While firing tears this item gives you a chance to fire an eye across the screen with a very slow shot speed, which will fire tears of its own in the same direction as Isaac"
Lusty Blood,ItemID: 411,"""Their blood brings rage!""",Quality: 3,"Each time Isaac kills an enemy, you get a temporary +0.5 damage up which lasts for the current room"
Cambion Conception,ItemID: 412,"""Feed them hate""",Quality: 2,After taking enough damage you will gain a permanent demon familiar
Immaculate Conception,ItemID: 413,"""Feed them love""",Quality: 1,"After picking up 15 hearts, Isaac gains a permanent angelic familiar and a soul heart drops"
More Options,ItemID: 414,"""There are even more options!""",Quality: 3,"Two items now spawn in each of your item rooms, however only one can be taken and the other will disappear"
Crown of Light,ItemID: 415,"""The untainted gain power""",Quality: 4,+2 Soul Hearts
Deep Pockets,ItemID: 416,"""More stuff to carry!""",Quality: 2,Increases your money cap to 999
Succubus,ItemID: 417,"""Damage booster""",Quality: 3,"A flying familiar that bounces around the room with a damaging aura, dealing rapid damage to any enemies inside it and boosting Isaac's tear damage"
Fruit Cake,ItemID: 418,"""Rainbow effects!""",Quality: 3,Gives you a different tear effect with every tear that you fire
Teleport 2.0,ItemID: 419,"""I-teleport!""",Quality: 3,When used will teleport you to another random room that has not been explored yet
Black Powder,ItemID: 420,"""Spin the black circle!""",Quality: 1,"Walking in a circle will spawn a pentagram symbol on the floor, which deals 10 damage per tick to any enemies inside it"
Kidney Bean,ItemID: 421,"""Love toots!""",Quality: 1,"When used, applies the charm effect to any enemies in close range and deals 5 damage"
Glowing Hour Glass,ItemID: 422,"""Turn back time""",Quality: 3,"When used, this item will rewind time and put you back in the previous room, in the same state you were in at that moment"
Circle of Protection,ItemID: 423,"""Protect me from myself""",Quality: 2,"Gives Isaac a large white halo around him, that deals a bit of damage to any enemies in contact with the ring"
Sack Head,ItemID: 424,"""More sacks!""",Quality: 3,"Coins have a 10% chance to be replaced with Sack. Bombs, keys, cards, runes and batteries have a 20% chance"
Night Light,ItemID: 425,"""Scared of the dark?""",Quality: 1,Gives Isaac a cone of light infront of him that slows any enemies inside it and their tears
Obsessed Fan,ItemID: 426,"""Follows my every move...""",Quality: 0,A purple familiar fly that follows your exact movement on a 1 second delay and deals 2 contact damage to enemies
Mine Crafter,ItemID: 427,"""Booom!""",Quality: 1,"When used, places an explosive TNT barrel next to you"
PJs,ItemID: 428,"""You feel cozy""",Quality: 2,+4 Soul Hearts
Head of the Keeper,ItemID: 429,"""Penny tears!""",Quality: 2,Isaac's tears become coins and now have a 5% chance to drop pennies on the floor upon successfully hitting an enemy
Papa Fly,ItemID: 430,"""Turret follower""",Quality: 1,A familiar blue fly that will follow Isaac's movement pattern but delayed by 1 second
Multidimensional Baby,ItemID: 431,"""ydduB Buddy""",Quality: 2,A familiar baby that will follow your movement pattern on a 2 second delay
Glitter Bombs,ItemID: 432,"""Prize bombs!""",Quality: 2,+5 bombs
My Shadow,ItemID: 433,"""Me! And my shaaaadow!""",Quality: 2,"Isaac's shadow will follow closely behind him and when it comes into contact with enemies, will spawn friendly dark charger mobs"
Jar of Flies,ItemID: 434,"""Gotta catch 'em all?""",Quality: 2,"Every time you kill an enemy a fly will be added to the Jar, allowing you to stack up to 20"
Lil Loki,ItemID: 435,"""4-way buddy!""",Quality: 1,"A Loki familiar that follows Isaac and shoots tears 4 tears in a cross pattern, dealing a flat 3.5 damage each"
Milk!,ItemID: 436,"""Dont cry over it...""",Quality: 1,Gives Isaac a familiar glass of milk that follows him and spills on the floor upon taking damage
D7,ItemID: 437,"""Reroll rewards!""",Quality: 1,"When used, the D7 will restart the current room and bring back all enemies once again, enabling you to farm rewards that spawn at the end after beating the room"
