"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 6","r-unlock","textbox 12"
"The Sad Onion","ItemID: 1","""Tears up""","Quality: 3","+0.7 Tears Up","Type: Passive","Item Pool: Item Room","","","","",""
"The Inner Eye","ItemID: 2","""Triple shot""","Quality: 2","Tears now shoot three at a time (Triple Shot)","Type: Passive, Tear Modifier","Item Pool: Item Room","Tears Down significantly - Tears fired per second * 0.51","","","",""
"Spoon Bender","ItemID: 3","""Homing shots""","Quality: 3","Gives Isaac's tears a homing effect","Type: Passive","Item Pool: Item Room","","","","",""
"Cricket's Head","ItemID: 4","""DMG up""","Quality: 4","+0.5 Damage Up","Type: Passive","Item Pool: Item Room","x1.5 times Damage Multiplier (Does not stack with the Magic Mushroom multiplier)","Can be found in golden chests","Cricket's Head used to be known as Max's Head in the original game and was renamed for Rebirth","",""
"My Reflection","ItemID: 5","""Boomerang tears""","Quality: 2","Gives tears a boomerang effect","Type: Passive, Tear Modifier","Item Pool: Item Room","+1.5 Damage Up","+0.6 Shot Speed Up","-1 Luck Down","",""
"Number One","ItemID: 6","""Tears up""","Quality: 2","Gives you a very high tear rate in exchange for a big range down","Type: Passive","Item Pool: Item Room","+1.5 Tears Up","-2.5 Range Down","","",""
"Blood of the Martyr","ItemID: 7","""DMG up""","Quality: 3","+1.0 Damage Up","Type: Passive","Item Pool: Item Room, Angel Room","x1.5 times Damage Multiplier if you also have Book of Belial (Does not stack with Magic Mushroom or Cricket's Head multipliers)","","","",""
"Brother Bobby","ItemID: 8","""Friends 'till the end""","Quality: 1","A familiar which follows Isaac and shoots normal tears which do 3.5 damage","Type: Passive, Familiar","Item Pool: Item Room, Devil Room","Counts as 1 of 3 familiar items needed towards the Conjoined transformation","","","",""
"Skatole","ItemID: 9","""Fly love""","Quality: 0","A lot of fly enemies are no longer aggressive towards Isaac","Type: Passive","Item Pool: None (Arcade shell game only)","Attack Fly, Dart Fly, Eternal Fly, and Ring Fly are transformed into a neutral black fly","Boom Fly, Red Boom Fly, Drowned Boom Fly move slower, but still deal contact damage","Moter, Level 2 Fly, Full Fly, Pooter, and Super Pooter move slower and deal no contact damage","",""
"Halo of Flies","ItemID: 10","""Projectile protection""","Quality: 2","Gives Isaac 2 orbital flies which block enemy shots","Type: Passive, Orbital","Item Pool: Item Room, Key Beggar","Picking up this item as well as 2 other fly-type items will allow you to transform into Lord of the Flies","Counts as 1 of 3 fly items needed towards the Beelzebub transformation","","",""
"1UP","ItemID: 11","""Extra life""","Quality: 2","Gives the player an extra life","Type: Passive","Item Pool: Secret Room","When revived, the green mushroom that follows Isaac will disappear and he will respawn with the same amount of red heart containers at full health","Resurrection takes place before all other items which give you an extra life","","",""
"Magic Mushroom","ItemID: 12","""All stats up!""","Quality: 4","+1 HP Up","Type: Passive","Item Pool: Item Room, Mushrooms","+0.3 Damage Up","x1.5 times Damage Multiplier (Does not stack with the multipliers from Cricket's Head / Blood of The Martyr + Book of Belial)","+1.5 Range Up","",""
"The Virus","ItemID: 13","""Poison touch""","Quality: 2","Enemies touching you take 12 damage, then a poison effect is applied for 6-7 ticks, dealing damage equal to the amount of red hearts you have (up to 30.8 at 12 full red hearts)","Type: Passive","Item Pool: Item Room, Demon Beggar, Lust Miniboss","+0.2 Speed Up","Has a chance to drop from the Lust miniboss fight","Counts as 1 of 3 syringe items needed towards the Spun transformation","",""
"Roid Rage","ItemID: 14","""Speed and range up""","Quality: 2","+0.3 Speed Up","Type: Passive","Item Pool: Item Room, Boss Room, Demon Beggar","+1.5 Range Up","+0.5 Shot Height","Counts as 1 of 3 syringe items needed towards the Spun transformation","",""
"<3","ItemID: 15","""HP up""","Quality: 2","+1 HP Up","Type: Passive","Item Pool: Item Room, Gluttony Miniboss","Fully restores all red heart containers","Has a chance to drop from the Gluttony miniboss fight","","",""
