"item-title","r-itemid","pickup","quality","textbox","textbox 2","textbox 3","textbox 4","textbox 5","textbox 10","textbox 11","textbox 12","r-unlock"
"Clear Rune","ItemID: 263","""Rune mimic""","Quality: 2","When used, copies the effect of the Rune or Soul stone you are holding (like the Blank Card)","Drops a random rune on the floor when picked up","The recharge time of this item depends on the Rune/Soul Stone held:","1 room: Soul of Lazarus","2 rooms: Rune of Ansuz, Rune of Berkano, Rune of Hagalaz, Soul of Cain","Type: Active","Recharge Time: Varies","Item Pool: Secret Room, Crane Game",""
"Mucormycosis","ItemID: 553","""Spore shot""","Quality: 3","Tears have a chance to fire a fungus tear that sticks to enemies. It grows rapidly in size then explodes into a gas cloud that damages nearby enemies","When the explosion happens, more homing fungus tears fire out in random directions. Those tears will cause the same effect if they happen to hit other enemies","Effects that replace your tears such as Brimstone simply have a chance to apply this effect","","","Type: Passive","Item Pool: Item Room","",""
"2Spooky","ItemID: 554","""4me""","Quality: 1","Any enemies that come within close range of Isaac will become feared, which causes them to flee","","","","","Type: Passive","Item Pool: Devil Room","",""
"Golden Razor","ItemID: 555","""Pain from gain""","Quality: 1","+5 coins when picked up","When used, this item takes away 5 of your coins and gives a +1.2 Damage Up that lasts for the current room","Can stack as many times as you want. Using it with less than 5 coins does nothing","","","Type: Active","Recharge Time: Instant","Item Pool: Item Room, Greed Mode Item Room","Unlock this item by collecting 99 coins then spending all of them in the same run"
"Sulfur","ItemID: 556","""Temporary demon form""","Quality: 2","Upon use, grants use of Brimstone for the current room","If used twice in the same room, the brimstone laser becomes massive and deals +1.8 more damage","Using it more than twice in the same room will give a damage increase each time","Counts as 1 of 3 evil items needed towards the Leviathan transformation.","","Type: Active","Recharge Time: 3 rooms","Item Pool: Devil Room",""
"Fortune Cookie","ItemID: 557","""Reusable fortunes""","Quality: 2","Upon use, displays a random fortune and has a chance to drop either a soul heart, a card (including dice shards), rune/soul stone or a trinket","Soul hearts and tarot cards are much more common than trinkets","","","","Type: Active","Recharge Time: 2 rooms","Item Pool: Item Room",""
"Eye Sore","ItemID: 558","""More eyes""","Quality: 1","With each tear fired, you have a chance to fire 1-3 extra tears in random directions","The extra tears scale with your other damage increasing items","Synergises with other items that replace your tears, like Brimstone or Technology","The chance to fire extra tears is not affected by luck","","Type: Passive","Item Pool: Item Room","",""
"120 Volt","ItemID: 559","""Zap!""","Quality: 2","This item will fire electricity at nearby enemies, dealing roughly x0.75 of your tear damage rapidly","The electricity can chain up to 4 enemies if they are close enough","On floors with water on the ground (Downpour, Flooded Caves, Dross) this effect chain onto enemies further away than it normally would","","","Type: Passive","Item Pool: Item Room","",""
"It Hurts","ItemID: 560","""No it doesn't...""","Quality: 1","Taking damage causes Isaac to fire a circle of 10 tears around him, each dealing 10 damage","After taking damage, you also gain a +1.2 Tears Up for the rest of the current room. Any subsequent hits give +0.4 Tears Up and will ignore the normal fire rate cap","","","","Type: Passive","Item Pool: Item Room","",""
"Almond Milk","ItemID: 561","""DMG down + tears up + you feel nutty""","Quality: 1","Greatly increases tears (x4 fire rate)","Greatly decreases damage (x0.33 damage multiplier)","Individual tears gain random worm effects (e.g. Hook Worm, Wiggle Worm etc.)","","","Type: Passive, Tear Modifier","Item Pool: Item Room","",""
