item-title,r-itemid,pickup,quality,textbox
Dark Prince's Crown,ItemID: 442,"""Loss is power""",Quality: 1,"A crown appears above your head and while at exactly 1 full red heart of health, you gain a +1.5 Range Up, +2.0 Tears Up and +0.20 Shot Speed Up"
Apple!,ItemID: 443,"""Trick or treat?""",Quality: 3,Gives you a 6.66% chance to fire a razor blade which deals x4 damage
Lead Pencil,ItemID: 444,"""Hes a bleeder!""",Quality: 3,"With every 15 tears fired, Isaac will fire a cluster of 12 tears instead of your normal tear"
Dog Tooth,ItemID: 445,"""Bark at the moon!""",Quality: 2,+0.3 Damage Up
Dead Tooth,ItemID: 446,"""Halitosis""",Quality: 1,"While firing, you gain a green aura that poisons any enemies which touch it. The poison deals your tear damage per tick, for 2 ticks"
Linger Bean,ItemID: 447,"""Crying makes me toot""",Quality: 0,"While firing tears constantly for 7.5 seconds, you spawn a poop cloud, which deals periodic damage to any enemies which come near it"
Shard of Glass,ItemID: 448,"""Blood and guts!""",Quality: 1,"Upon taking damage, Isaac starts to bleed, leaving a trail of blood and spraying blood tears everywhere which deal damage to nearby enemies"
Metal Plate,ItemID: 449,"""It itches...""",Quality: 1,+1 Soul Heart
Eye of Greed,ItemID: 450,"""Gold tears!""",Quality: 2,Every 20th tear fired will also fire a golden coin tear at the same time. This tear turns enemies to gold for a few seconds and causes them to drop 1-4 coins if killed while golden (similar to the Midas' Touch item)
Tarot Cloth,ItemID: 451,"""I see the future""",Quality: 2,Drops a random card on pickup
Varicose Veins,ItemID: 452,"""I'm leaking...""",Quality: 1,"Every time you take damage, 10 high damage tears are fired in a circle around you (similar to the Tammy's Head effect)"
Compound Fracture,ItemID: 453,"""Bone tears!""",Quality: 3,"Turns your tears into bones, which shatter into 1-3 smaller bone shards upon hitting any object or enemy"
Polydactyly,ItemID: 454,"""Hold me!""",Quality: 2,"Allows Isaac to carry two cards, runes or pills (or any combination of these) at the same time"
Dad's Lost Coin,ItemID: 455,"""I remember this...""",Quality: 1,+0.38 Range Up
Midnight Snack,ItemID: 456,"""HP up""",Quality: 1,+1 HP Up
Cone Head,ItemID: 457,"""Hard headed!""",Quality: 2,+1 Soul Heart
Belly Button,ItemID: 458,"""Whats in there?""",Quality: 3,Drops one random trinket on pickup
Sinus Infection,ItemID: 459,"""Booger tears!""",Quality: 3,"Isaac's tears have a 20% chance to be a booger instead, which stick on to enemies and deal periodic poison damage until they die"
Glaucoma,ItemID: 460,"""Blind tears!""",Quality: 1,"Adds a chance to shoot a concussive tear, which will cause enemies to walk around dazed in confusion"
Parasitoid,ItemID: 461,"""Egg tears!""",Quality: 3,"This item gives you a chance that instead of firing tears you will fire an egg sack, which slows enemies on hit and drops a pool of white slowing creep below them"
Eye of Belial,ItemID: 462,"""Possessed tears!""",Quality: 3,"Causes your tears to become piercing, allowing them to travel through enemies"
Sulfuric Acid,ItemID: 463,"""Acid tears!""",Quality: 2,+0.3 Damage Up
Glyph of Balance,ItemID: 464,"""A gift from above""",Quality: 2,+2 Soul Hearts
Analog Stick,ItemID: 465,"""360 tears!""",Quality: 2,+0.35 Tears Up
Contagion,ItemID: 466,"""Outbreak!""",Quality: 2,"The first enemy you kill in each new room will now explode and poison all nearby enemies, causing them to take periodic damage until they also die and explode"
Finger!,ItemID: 467,"""Watch where you point that!""",Quality: 1,Gives Isaac a finger which floats infront of him and points in the same direction he is facing or firing. The finger deals 10% of your normal damage to all enemies in the same direction that the finger is pointing
Shade,ItemID: 468,"""It follows""",Quality: 0,Isaac gains a shadow familiar that will follow Isaac's movement pattern  by a 0.66 second delay and deal 5 contact damage to enemies per tick
Depression,ItemID: 469,""":(""",Quality: 1,Isaac gains a cloud familiar that follows him and leaves a trail of tears on the floor which damages enemies for 2 damage per tick
Hushy,ItemID: 470,"""Lil hush!""",Quality: 0,Gives Isaac a small Hush familiar that bounces diagonally around the room dealing 2 contact damage per tick
Lil Monstro,ItemID: 471,"""Ain't he cute?""",Quality: 2,"Gives Isaac a small Monstro familar, who's tears can be charged and released in a shotgun style effect, much like Monstro's main attack"
King Baby,ItemID: 472,"""Lord of the dead!""",Quality: 1,"A baby familiar that follows you and causes other familiars to follow it. It stops moving while Isaac is firing tears and upon releasing the fire button, King Baby will teleport back to your location"
Big Chubby,ItemID: 473,"""Chub chub""",Quality: 2,"A familiar that follows Isaac and charges forwards very slowly, dealing 2.7 damage per tick to any enemies it comes into contact with"
Plan C,ItemID: 475,"""My last resort""",Quality: 0,"Upon use, this item deals 9,999,999 damage to all enemies in the room and then kills you 3 seconds later"
D1,ItemID: 476,"""What will it be?""",Quality: 2,"When used, the D1 duplicates 1 random pickup in the current room. This works with all normal pickups, including cards, runes, chests and trinkets. Duplicated items might not be identical copies of the original - for example duplicating a card may spawn a different card"
Void,ItemID: 477,"""Consume""",Quality: 4,"When used, Void will consume any pedestal items in the current room"
Pause,ItemID: 478,"""Stop!""",Quality: 1,"Upon use, this item freezes all enemies in the room until you press the fire button again or 30 seconds passes (whichever happens first)"
Smelter,ItemID: 479,"""Trinket melter!""",Quality: 3,"Upon use, the Smelter will destroy your currently held trinket and give you the effect permanently, allowing you to stack up lots of different trinket effects"
Compost,ItemID: 480,"""Gain more friends!""",Quality: 1,"When used, Compost doubles up the current number of blue flies and spiders you have"
Dataminer,ItemID: 481,"""109""",Quality: 0,"When used, this item will distort all the sprites and music, rotating graphics 90 degrees and translating them diagonally up/left, while leaving the hitbox in the same place. This can make it confusing while navigating the room"
Clicker,ItemID: 482,"""Change""",Quality: 0,"When used, this item will randomly change you into another character and remove the last item you picked up"
MaMa Mega!,ItemID: 483,"""BOOOOOOOOOM!""",Quality: 3,"A one time use item that when used will explode all objects (i.e. rocks, poop) in the room and deal 200 damage to all enemies in the current room, as well as every other room for the remainder of the floor"
Wait What?,ItemID: 484,"""I can't believe it's not butter bean!""",Quality: 1,"Upon use, this item will fart, pushing enemies away and causing a wave of rocks to spawn that spread outwards from Isaac in a circle, dealing 10 damage per hit to any enemies caught in it"
Crooked Penny,ItemID: 485,"""50/50""",Quality: 2,"When used, you have a 50% chance to double all items, consumables and chests in the current room"
Dull Razor,ItemID: 486,"""I feel numb...""",Quality: 1,"Upon use this item hurts Isaac without actually taking health away, allowing you to activate any items which trigger when taking damage without losing health"
Potato Peeler,ItemID: 487,"""A pound of flesh...""",Quality: 2,"When used, this item permanently removes one of your red heart containers and gives you a flat +0.2 Damage Up, the Anemic effect (+1.5 Range Up + red creep trail) and a Cube of Meat"
Metronome,ItemID: 488,"""Waggles a finger""",Quality: 1,"When used, this item gives you the effect of a random item for the rest of the room"
D Infinity,ItemID: 489,"""Reroll forever""",Quality: 4,This dice allows you to press the Drop key to cycle between all possible dice effects and pick one to use
Eden's Soul,ItemID: 490,"""...""",Quality: 3,"A one time use active item that when used, will spawn 2 random item pedestals from the item pool associated with the current room (e.g. in an Angel room, this will spawn 2 Angel room items)"
Acid Baby,ItemID: 491,"""Pills pills pills!""",Quality: 2,Every 6-7 rooms Acid Baby will drop a random pill
YO LISTEN!,ItemID: 492,"""Yo listen!""",Quality: 2,+1 Luck Up
Adrenaline,ItemID: 493,"""Panic - power""",Quality: 2,"For every empty red heart container, Isaac gains Damage Up and his body increases in size"
Jacob's Ladder,ItemID: 494,"""Electric tears""",Quality: 3,"Isaac gains electric tears, which fire 1-2 sparks of electricty in random directions upon hitting any object or enemy"
Ghost Pepper,ItemID: 495,"""Flame tears""",Quality: 4,"Each tear now has a small chance to be a spectral blue flame instead, which deals damage to enemies that come in contact with it"
Euthanasia,ItemID: 496,"""Needle shot""",Quality: 3,"Each tear now has a small chance (3.33%) to be a needle instead, which deals 3 times your tear damage"
Camo Undies,ItemID: 497,"""Camo kid""",Quality: 3,"Upon entering a new room, Isaac will become camouflaged and enemies won't attack until you start firing tears"
Duality,ItemID: 498,"""You feel very balanced""",Quality: 1,"Any time a devil or angel room door opens after a boss, the other one will also spawn"
Eucharist,ItemID: 499,"""Peace be with you""",Quality: 3,Gives you a 100% chance to find an Angel Room on every valid floor after defeating the boss
Sack of Sacks,ItemID: 500,"""Gives Sacks!""",Quality: 3,A sack familiar that drops a sack every 5 or 6 rooms cleared (alternates between 5 and 6)
Greed's Gullet,ItemID: 501,"""Money = Health!""",Quality: 1,"Gives you an extra heart container for every 25 coins you are currently holding, up to a maximum of 4 extra HP at 99 coins held"
Large Zit,ItemID: 502,"""Creep shots""",Quality: 1,"Gives you a random chance while firing tears to also fire a creep shot, which deals double your tear damage and places white creep on the floor infront of you that slows enemies down if they walk through it"
Little Horn,ItemID: 503,"""Big brother is watching""",Quality: 3,"While firing tears you have a 5% chance to fire a void tear. Void tears that touch enemies will spawn Big Horn, who appears and grabs them, instantly killing that enemy"
Brown Nugget,ItemID: 504,"""Friendly Fly""",Quality: 0,"When used, will spawn a fly turret that doesn't move and fires tears at nearby enemies"
Poke Go,ItemID: 505,"""Gotta catch em...""",Quality: 2,"At the start of each new hostile room, you have a 20% chance to gain a random charmed familiar which will fight for you"
BackStabber,ItemID: 506,"""Watch your back!""",Quality: 3,"Every time one of your tears hits an enemy, it has a chance to start bleeding, which will cause it to take damage every 5 seconds"
Sharp Straw,ItemID: 507,"""More blood!""",Quality: 2,"When used, Sharp Straw will deal damage to all enemies in the room"
Mom's Razor,ItemID: 508,"""It's sharp!""",Quality: 2,"A razor blade orbital that deals contact damage and applies the bleeding status effect to enemies and bosses, which will cause them to take damage every 5 seconds"
Bloodshot Eye,ItemID: 509,"""Bloody friend""",Quality: 1,An eye orbital that shoots tears that deal 3.5 damage and deals 2 contact damage per tick to enemies
Delirious,ItemID: 510,"""Unleash the power!""",Quality: 1,"When used, spawns a charmed random white delirium version of a boss, that will fight for you and kill other enemies for the rest of the current room"
Angry Fly,ItemID: 511,"""He's violent""",Quality: 1,"A familiar fly that orbits around a random enemy in the room until that enemy dies, dealing 2 contact damage to other enemies"
Black Hole,ItemID: 512,"""Nothing can escape""",Quality: 1,"A throwable active item that places a black hole on the ground where it lands, sucking all enemies into it for 6 seconds"
Bozo,ItemID: 513,"""Party time!""",Quality: 2,+0.1 Damage Up
Broken Modem,ItemID: 514,"""LAG!""",Quality: 3,"Causes random enemies to 'lag' at random intervals, causing them to freeze in place for a second"
Mystery Gift,ItemID: 515,"""Wrapped up nice for you!""",Quality: 3,"A one-time use item that spawns a random item from the current room's item pool, with a chance for it to spawn Lump of Coal or The Poop instead"
Sprinkler,ItemID: 516,"""Sprinkles.""",Quality: 2,"When used, spawns a Sprinkler that rotates in a circle, spraying tears in all directions"
Fast Bombs,ItemID: 517,"""Faster Bomb Drops!""",Quality: 1,+7 Bombs
Buddy in a Box,ItemID: 518,"""What could it be?!""",Quality: 2,"When picked up, gives Isaac a random familiar which has a random sprite and tear effect"
Lil Delirium,ItemID: 519,"""He's Delirious""",Quality: 2,"A familiar that will transform into another random familiar every 10 seconds, copying their behaviour and effect"
Jumper Cables,ItemID: 520,"""Bloody recharge!""",Quality: 3,This item gives you 1 bar of charge on your active item for every 15 enemies you kill
Coupon,ItemID: 521,"""Allow 6 weeks for delivery""",Quality: 2,"When used, the coupon causes one random item in the shop to become free"
Telekinesis,ItemID: 522,"""The power of mind!""",Quality: 1,An active that causes all enemy tears to be held in place and then thrown back away from Isaac for a period of 3 seconds
Moving Box,ItemID: 523,"""Pack and unpack""",Quality: 1,"When used, the box will pick up a maximum of 6 items. Using the box again will put the picked up items back on the floor again, allowing you to move things between rooms"
